energy_mev,mass_attenuation_cm2_g
0.1, 5.549
0.2, 9.986E-01
0.3, 0.4032
0.4, 2.323E-01
0.5, 1.613E-01
0.6, 1.248E-1
0.8, 8.870E-02	
1.0, 7.102E-02
1.25, 5.875E-02
1.5, 5.222E-02
2.0, 4.607E-02
